name,artists,year
Slither,['Metallica'],1997
By the Time This Night Is Over,"['Kenny G', 'Peabo Bryson']",1997
Uptown Girl,['Me First and the Gimme Gimmes'],1997
El Baile de la Cachucha,['Banda Pelillos'],1997
Searching - Live Version,['Erykah Badu'],1997
"Theme from ""Dying Young""",['Kenny G'],1997
De Lo Mas Profundo de Mi Corazón,"['Samuel Hernández', 'Funky']",1997
Klavier,['Rammstein'],1997
Don't Rush (Take Love Slowly),['K-Ci & JoJo'],1997
A New Hope,['blink-182'],1997
The World Is New,['Save Ferris'],1997
Vuelveme A Querer,['Cristian'],1997
Never Smile at a Crocodile,"['Frank Churchill', 'Jack Lawrence']",1997
When U Cry,['SWV'],1997
Amigo,['Maracaibo 15'],1997
The Garden / All in the Golden Afternoon,"['Kathryn Beaumont', 'Disney Studio Chorus']",1997
Tell It Like It Is (feat. Bobby Caldwell),"['Michael Lington', 'Bobby Caldwell']",1997
Charola de Plata,['Los Tiranos Del Norte'],1997
Bullet,['Misfits'],1997
Dueño De Tu Amor,['Los Marineros del Norte'],1997
Going On A Bear Hunt,['Denise Gagne'],1997
"Go Your Own Way - Live at Warner Brothers Studios in Burbank, CA 5/23/97",['Fleetwood Mac'],1997
All Cried Out (feat. 112) - Edit,"['Allure', '112']",1997
Alma Matters,['Morrissey'],1997
Cultivate,['Mudvayne'],1997
Fuck You I'm Drunk,['Bondo'],1998
I Can't Help It (If I'm Still In Love With You),['Hank Williams'],1998
Because You Love Me,['Jo Dee Messina'],1998
Reservoir Dogs,"['JAY-Z', 'The LOX', 'Sauce Money', 'Beanie Sigel']",1998
Hit 'Em Up - Album Version (Edited),['2Pac'],1998
Your Life Is Now,['John Mellencamp'],1998
"Rock Rock Y'all (feat. Punchline, Wordsworth, Jane Doe & Mos Def)","['A Tribe Called Quest', 'Punchline', 'Wordsworth', 'Jane Doe', 'Mos Def']",1998
Wading in the Velvet Sea,['Phish'],1998
Slave To The Rhythm - Hot Blooded Version,['Grace Jones'],1998
All The Kids Are Right,['Local H'],1998
The Soapmakers,['Clutch'],1998
Sleeping Sun,['Nightwish'],1998
Do You Hear What I Hear? - His Gift Version,['CeCe Winans'],1998
Sin Ti,['Grupo Bryndis'],1998
"Get Up, Get Out!",['Godsmack'],1998
約定,['Faye Wong'],1998
I Ain't Mad At Cha - Album Version (Edited),"['2Pac', 'Danny Boy']",1998
Painkiller,['Death'],1998
Dejenla Que Baile,['Impacto De Montemorelos'],1998
All Things Are Working,"['Fred Hammond', 'Radical For Christ']",1998
Goddess On A Hiway - Remastered,['Mercury Rev'],1998
Pillars,['Sunny Day Real Estate'],1998
Qué te ha dado esa mujer,['Pedro Infante'],1998
"Down, Down, Down - Club Mix","['DJ Quik', 'Suga Free', 'Mausberg', 'AMG']",1998
Secret Love,['Kelly Price'],1998
Rosa Parks - Radio Version,['OutKast'],1998
Which Side are You On?,['Pete Seeger'],1998
Descent,['Fear Factory'],1998
Flor Del Rio,['Grupo La Migra'],1998
Tu Quieres Volver,['Gipsy Kings'],1998
Sobreviviré,['Priscila y Sus Balas De Plata'],1998
Watching over Me - Remixed & Remastered,['Iced Earth'],1998
I'll Take Care of You,['The Chicks'],1998
Why Don't You Love Me - Single Version,['Hank Williams'],1998
Free,['Ultra Naté'],1998
"Western Ways, Pt. 2 (La Seleccion) (feat. Big Punisher & JUJU)","['Delinquent Habits', 'Big Pun', 'JUJU']",1998
Tu El Y Yo,['Yoskar Sarante'],1998
Carney Man,['Cross Canadian Ragweed'],1998
JFK 2 LAX,['Gang Starr'],1998
Seminole Wind,['John Anderson'],1998
Love Is,"['Brian McKnight', 'Vanessa Williams']",1998
The End Of The Line,['The Offspring'],1998
Little Plastic Castle,['Ani DiFranco'],1998
I Will Get There - A Cappella,['Boyz II Men'],1998
Stand by Your Man,['The Chicks'],1998
"Sugar - Live at Irving Plaza, NYC, NY - January 1999",['System Of A Down'],1998
Another Year Has Gone By,['Céline Dion'],1998
Man Next Door,['Massive Attack'],1998
I'm Not Ready,['Keith Sweat'],1998
Habla Me,['Gipsy Kings'],1998
Perdido Sin Ti,['Ricky Martin'],1998
I've Got The World On A String,['Barry Manilow'],1998
The Arms of the One Who Loves You,['Xscape'],1998
Smith & Jones Forever,['Silver Jews'],1998
Comin' Home - Original Version,['Lynyrd Skynyrd'],1998
Sultans of Swing,['Dire Straits'],1998
Livin' on a Prayer,['Rocksolid'],1998
Come Thou Fount,['David Crowder Band'],1998
LOST INTO THE NIGHT,['ELISA'],1998
Chaiyya Chaiyya,"['Sukhwinder Singh', 'Sapna Awasthi']",1998
Are You Jimmy Ray?,['Jimmy Ray'],1998
Golpes Y Besos,['Los Fugitivos'],1998
Sombra de Ti,['Shakira'],1998
How Much Is The Fish?,['Scooter'],1998
Esperanza,['Enrique Iglesias'],1998
Call and Answer,['Barenaked Ladies'],1998
Oye,['Gloria Estefan'],1998
Loverman,['Metallica'],1998
We Can't Be Friends (with R.L.),"['Deborah Cox', 'R.L.']",1998
I Can't Make You Love Me,['George Michael'],1998
O Holy Night,['Martina McBride'],1998
Sooner Or Later,['Fastball'],1998
What About Me,['Gerald Levert'],1998
Glory Box - Live,['Portishead'],1998
The Old Dun Cow,['Seamus Kennedy'],1998
Si No Te Hubieras Ido,['Marisela'],1998
BREAK THE NIGHT,['Tommy K'],1998
"Drivin' My Life Away - From ""Black Dog"" Soundtrack",['Rhett Akins'],1998
Light Up My Room,['Barenaked Ladies'],1998
Is There Something I Should Know?,['Duran Duran'],1998
Bamboleo,['Julio Iglesias'],1998
雨蝶,['E-Jun Lee'],1998
Right Here Waiting (feat. 112),"['Monica', '112']",1998
Singing In My Sleep,['Semisonic'],1998
Coconut,['Widespread Panic'],1998
Amapola,['Juan Luis Guerra 4.40'],1998
STAY,['VICTORIA'],1998
Finnegan's Wake,['Dropkick Murphys'],1998
Prometi Olvidarte,['El Poder Del Norte'],1998
Street Symphony,['Monica'],1998
Cameltosis,['Korn'],1998
Sunset Boulevard,['Charlie Robison'],1998
Mind Your Own Business - Single Version,['Hank Williams'],1998
Cruel Summer,['Ace of Base'],1998
Bitter Peace,['Slayer'],1998
Before You Hit The Ground,['Jonny Lang'],1998
Hold Me 'Til The Morning Comes (with Peter Cetera),"['Paul Anka', 'Peter Cetera']",1998
A Case of You,['Joni Mitchell'],1998
Boomerang,['Big Pun'],1998
Es Amor Lo Que Hay En Ti,['Banda Cuisillos'],1998
Al Final De Tu Camino,['Pancho Barraza'],1998
Outside,['George Michael'],1998
Un Amor En El Olvido,['La Arrolladora Banda El Limón De Rene Camacho'],1998
I'll Be - 45 Version,['Edwin McCain'],1998
Crazy Over You,['112'],1998
Cut Chemist Suite,['Ozomatli'],1998
Dame Tu Querer,['Raulin Rodriguez'],1998
Ritmazo,['Banda Cuisillos'],1998
Night Shift,['South Park Mexican'],1998
Midnite Blues,['The Detroit Cobras'],1998
Paranoid,['Black Sabbath'],1998
Time to Glide,"['T-Dre', 'Delux', 'Cali Life Style']",1998
Birds and Ships (feat. Natalie Merchant),"['Billy Bragg', 'Wilco', 'Natalie Merchant']",1998
El Niño Perdido,['Banda Sinaloense MM'],1998
Uninvited,['Alanis Morissette'],1998
All of You (feat. Diana Ross),"['Julio Iglesias', 'Diana Ross']",1998
Never Say Die,['The Chicks'],1998
S'il suffisait d'aimer,['Céline Dion'],1998
You'z a Ganxta,['DJ Quik'],1998
Who Needs Sleep?,['Barenaked Ladies'],1998
Boys on the Docks,['Dropkick Murphys'],1998
Let Me Let Go,['Faith Hill'],1998
Hold on to Me,['John Michael Montgomery'],1998
If You Can't Say No,['Lenny Kravitz'],1998
Framed,['Chris Knight'],1998
Me Gustas Mucho,['Juan Gabriel'],1998
Polyester Bride,['Liz Phair'],1998
Quiero Saber De Ti,['El Sentir De La Bachata'],1998
Por Amor Y Fe,['Pancho Barraza'],1998
Splackavellie,['Pressha'],1998
Waiting For Your Love,['Stevie B'],1998
The Ballad Of Resurrection Joe And Rosa Whore,['Rob Zombie'],1998
"Blossoms - From ""Mulan""/Score",['Jerry Goldsmith'],1998
Stain Of Mind,['Slayer'],1998
All or Nothing,['Cher'],1998
Heart of a Hustler,"['D.E.A. Dead End Alliance', 'Kay-K', 'Mike D', 'Lil Keke', 'Fat Pat', 'H.A.W.K.']",1998
Nothing Really Matters,['Madonna'],1998
Is This Real?,['Lisahall'],1998
Quieren,['Vico C'],1998
Remember Me (feat. Steve Augeri),"['Journey', 'Steve Augeri']",1998
Big Ballin',['Big Tymers'],1998
Little League,"[""Cap'n Jazz""]",1998
Turn It Up / Fire It Up - Remix,"['Busta Rhymes', 'Busta Rhymes for Flipmode Entertainment']",1998
Scavenger of Human Sorrow,['Death'],1998
Never Say Never,['Brandy'],1998
No Importa la Distancia (Go the Distance),['Ricky Martin'],1998
Daysleeper,['R.E.M.'],1998
Helpless,['Metallica'],1998
U.P.T.,"['Juvenile', 'Big Tymers', 'Hot Boys', 'Lil Wayne']",1998
Camptown Races,['Vince Guaraldi Trio'],1998
The Day They Make Me Boss,['Young Bleed'],1998
Holes,['Mercury Rev'],1998
夕陽之歌,['Anita Mui'],1998
Entertaining Angels,['Newsboys'],1998
The Small Hours,['Metallica'],1998
Like It Like That,['A Tribe Called Quest'],1998
Paint It Black,['Gob'],1998
You Make Me Feel So Young,['Barry Manilow'],1998
Quiero Volver,['Banda Maguey'],1998
Cerca del Mar,['Los Dandys'],1998
Pay The Man,['The Offspring'],1998
Can I Get A...,"['JAY-Z', 'Amil', 'Ja Rule']",1998
The Militia,"['Gang Starr', 'Big Shug', 'Freddie Foxxx']",1998
Little Fluffy Clouds - Dance Mix 2,['The Orb'],1998
Like A Friend,['Pulp'],1998
My Oh My,['David Gray'],1998
Back in the Days,['Trick Daddy'],1999
Baby Don't Cry (Keep Ya Head Up II),"['2Pac', 'Outlawz']",1999
Fresh,['Kool & The Gang'],1999
Can't Stay,['Dave Hollister'],1999
I Turn To You - Hex Hector Radio Mix,"['Melanie C', 'Hex Hector']",1999
Extraño Mi Pueblo,['Frank Reyes'],1999
Tú Necesitas,['Aleks Syntek'],1999
Everything Dies,['Type O Negative'],1999
Azúcar,"['A.B. Quintanilla III Y Los Kumbia Kings', 'Fito Olivares']",1999
Mama Cumbia,['Los Socios Del Ritmo'],1999
Reto de la Muerte,['Banda El Recodo'],1999
All Things Considered,['Yankee Grey'],1999
Let Him Fly,['The Chicks'],1999
Eeyore,['Slipknot'],1999
Fear Not Of Man,['Mos Def'],1999
"Serse: Aria ""Ombra mai fù"" (Atto I, scena 1)","['George Frideric Handel', 'Akademie für Alte Musik Berlin', 'Andreas Scholl']",1999
Sever,['311'],1999
"Through the Fire - From ""Top Gun"" Original Soundtrack",['Larry Greene'],1999
Qui-Gon's Noble End,"['John Williams', 'London Symphony Orchestra']",1999
The Grass Is Blue,['Dolly Parton'],1999
Seasons in the Sun,['Westlife'],1999
"Situation - U.S. 12"" Mix",['Yazoo'],1999
Heaven in Your Eyes,['Loverboy'],1999
她來聽我的演唱會,['Jacky Cheung'],1999
Center of the Universe,['Built To Spill'],1999
No Me Amenaces,['José Alfredo Jimenez'],1999
Cash Money Is An Army,['B.G.'],1999
Solid As A Rock,['Ella Fitzgerald'],1999
The Perfect Fan,['Backstreet Boys'],1999
"Long Black Veil - Live at Continental Airlines Arena, East Rutherford, NJ - September 1999",['Dave Matthews Band'],1999
Found Out About You,['Gin Blossoms'],1999
Right on Time,['Red Hot Chili Peppers'],1999
Sopa de Caracol,['Banda Blanca'],1999
Dream a Dream - Radio Mix,['Captain Jack'],1999
Lucky Denver Mint,['Jimmy Eat World'],1999
The Mountain,"['Steve Earle', 'The Del McCoury Band']",1999
Put It In Your Mouth (feat. Kia Jefferies),"['Akinyele', 'Kia Jefferies']",1999
"Come On, Come On",['Smash Mouth'],1999
Mask And Da Glock,['Three 6 Mafia'],1999
Sinceridad,['Rabito'],1999
Colorblind,['Counting Crows'],1999
Cenit Acústico,['La Castañeda'],1999
Where You Are (featuring Nick Lachey) (feat. Nick Lachey) - New Version,"['Jessica Simpson', 'Nick Lachey']",1999
A Mistake,['Fiona Apple'],1999
Ghost in This House,['Alison Krauss'],1999
I Wanna Luv U,['Donell Jones'],1999
Venezia,['Hombres G'],1999
Got To Get It,"['Sisqo', 'Make It Hot']",1999
Promises,['Def Leppard'],1999
24/7,['Kevon Edmonds'],1999
"Jimi Thing - Live at Luther College, Decorah, IA - February 1996","['Dave Matthews', 'Tim Reynolds']",1999
Doo Wop (That Thing),['Ms. Lauryn Hill'],1999
Cuando Nadie Te Quiera,"[""Los Player's""]",1999
Anthem for the Year 2000,['Silverchair'],1999
La Loca,['Los Fugitivos'],1999
Me Voy A Ir,['Grupo Laberinto'],1999
Eyes On Me,['Faye Wong'],1999
Counting,['Korn'],1999
Feels Like Home,['Chantal Kreviazuk'],1999
Strawberryfire,['The Apples In Stereo'],1999
Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,['Wayne Shorter'],1999
From This Day,['Machine Head'],1999
Enemy,['Days Of The New'],1999
Cave,['Muse'],1999
What's So Different?,['Ginuwine'],1999
I'm Glad - (1966 Demo),['Captain Beefheart'],1999
Te quiero igual,['Andrés Calamaro'],1999
Best Friend,['Toy-Box'],1999
Spanish Eyes,['Backstreet Boys'],1999
I Found a Dream,['Rosie & The Originals'],1999
Point #1,['Chevelle'],1999
I've Got You Under My Skin,['Diana Krall'],1999
Against All Odds (Take A Look At Me Now),['Mariah Carey'],1999
El Amor De Mi Tierra,['Carlos Vives'],1999
What Do You Say,['Reba McEntire'],1999
"Two Worlds - From ""Tarzan""/Radio Version",['Phil Collins'],1999
A Que Me Quedo Contigo,['Marco Antonio Solís'],1999
"Walking Into Sunshine - Original Larry Levan 12"" Mix",['Central Line'],1999
Common Man,['John Conlee'],1999
Al lado del camino,['Fito Paez'],1999
Barrel Of A Gun,['Guster'],1999
Scene Eight: The Spirit Carries On,['Dream Theater'],1999
"Oh, Little Town Of Bethlehem",['Burl Ives'],1999
For Whom The Bell Tolls - Live with the SFSO,['Metallica'],1999
Viva La Fiesta (Me Like To Party),['Banda Zarape'],1999
As Time Goes By,['Bryan Ferry'],1999
Cuando Volveras (English Version) [Bonus Track],['Aventura'],1999
Cuando Casi Te Olvidaba,['Los Diablitos'],1999
The One Who Really Loves You,['Mary Wells'],1999
Preaching The End Of The World,['Chris Cornell'],1999
Do I Ever Cross Your Mind - 2015 Remaster,"['Dolly Parton', 'Linda Ronstadt', 'Emmylou Harris']",1999
Siento Que...,['Jumbo'],1999
Life Is What You Make It (feat. DMX),"['Nas', 'DMX']",1999
Love Is On The Way,"['Dave Koz', 'Chris Botti']",1999
Excess Baggage - LP Hidden Track,['Staind'],1999
Eons,['311'],1999
Cum on Feel the Noize,['Quiet Riot'],1999
No Vale La Pena,['Banda El Recodo'],1999
I'm Always in Love,['Wilco'],1999
Arrullo de Dios,['José Alfredo Jimenez'],1999
Unleash The Dragon,"['Sisqo', 'Beanie Sigel']",1999
Mystic Man,['Three Plus'],1999
Stuck on You,['Ekolu'],1999
Dead,['Korn'],1999
"Say Goodbye - Live at Luther College, Decorah, IA - February 1996","['Dave Matthews', 'Tim Reynolds']",1999
Yo Quiero Fumar (I Wanna Get High) - Spanish Edit,['Cypress Hill'],1999
My Baby You,['Marc Anthony'],1999
Over Funk - 2006 Remaster,['Red Hot Chili Peppers'],1999
As The Deer,['Maranatha! Music'],1999
Find My Baby,['Moby'],1999
"Silver And Gold - From ""Rudolph The Red-Nosed Reindeer"" Soundtrack",['Burl Ives'],1999
Ilusiones,"['Diomedes Diaz', 'Franco Argüelles']",1999
Work,['Gang Starr'],1999
Dirty,['Korn'],1999
Nastradamus,['Nas'],1999
Crazy Bout Ya,"['Master P', 'MC Peaches', 'Mercedes']",1999
Fuel - Live with the SFSO,['Metallica'],1999
Bei Mir Bist Du Schon (Means That You're Grand),['The Andrews Sisters'],1999
Foto Viva,"[""Mo' Horizons""]",1999
Home,['Brian McKnight'],1999
Medley Salsa,['Studio Musicians'],1999
I'll Be,['Reba McEntire'],1999
Pumpkinhead,['Misfits'],1999
King of Pain - Live / Unplugged,['Alanis Morissette'],1999
Everyone I Love Is Dead,['Type O Negative'],1999
Bizarre Love Triangle - 2014 Remaster,['Frente!'],1999
Where The Blacktop Ends,['Keith Urban'],1999
Que Cara Mas Bonita,['La Makina'],1999
My Favorite Girl,['Dave Hollister'],1999
Africa Bamba,['Santana'],1999
10 Days Late - 2008 Remaster,['Third Eye Blind'],1999
Mi Ultimo Contrabando,['Beto Y Sus Canarios'],1999
Faith My Eyes,"[""Caedmon's Call""]",1999
All Her Love,['Donell Jones'],1999
Porcelain,['Red Hot Chili Peppers'],1999
One,['Aimee Mann'],1999
Qué Bueno Baila Usted,['Ibrahim Ferrer'],1999
No Debes Jugar - Remastered,['Selena'],1999
Un Muchacho Pobre,['Banda Cuisillos'],1999
Still,['Macy Gray'],1999
New World Water,['Mos Def'],1999
Fallen - Bonus Track,['Lauren Wood'],1999
Totalimmortal,['AFI'],1999
Picture In A Frame,['Tom Waits'],1999
The First Flute Song,['Kevin Locke'],1999
Via Chicago,['Wilco'],1999
Una Noche Más,['Jennifer Lopez'],1999
The Memory Remains - Live with the SFSO,['Metallica'],1999
"Pretty Fly for a Rabbi (Parody of ""Pretty Fly (For a White Guy)"" by Offspring)","['""Weird Al"" Yankovic']",1999
Tarzan & Jane,['Toy-Box'],1999
Voy a pasármelo bien,['Hombres G'],1999
Papa Was a Rodeo,['The Magnetic Fields'],1999
Aventurero Y Loco,['Banda La Pirinola'],1999
It's Always Somethin',['Joe Diffie'],1999
By Myself,['Linkin Park'],2000
Háblame,['Alejandro Fernández'],2000
Godless,['U.P.O.'],2000
El No Pereció,['Julissa'],2000
Special K,['Placebo'],2000
Left And Leaving,['The Weakerthans'],2000
Lives,['Modest Mouse'],2000
"The Nutcracker (Suite), Op. 71a, TH. 35: IIb. Dance Of The Sugar-Plum Fairy","['Pyotr Ilyich Tchaikovsky', 'Berliner Philharmoniker', 'Mstislav Rostropovich']",2000
La Hierba se Movía,['Montez de Durango'],2000
Church on Sunday,['Green Day'],2000
Ever And A Day,['AFI'],2000
Summertime (Pt. 1),['Sam Cooke'],2000
"一起走過的日子 - 電影""至尊無上II之永霸天下"" 歌曲",['Andy Lau'],2000
El Africano,['Wilfrido Vargas'],2000
We Float,['PJ Harvey'],2000
He Knows My Name,['Tommy Walker'],2000
Drag You Down,['Finger Eleven'],2000
The Crawdad Song,['Doc Watson'],2000
Victim Of Changes,['Judas Priest'],2000
And I Love You So,['Don McLean'],2000
Change the World (feat. Big B),"['Bone Thugs-N-Harmony', 'Big B']",2000
-1,['Mudvayne'],2000
"Theme (From ""The Munsters"")",['Daniel Caine Orchestra'],2000
Slave Song,['Sade'],2000
Lo que te queda,['Los Solitarios'],2000
Oh Holy Night,['Christina Aguilera'],2000
El Pianista,"[""Liran' Roll""]",2000
Maybe Someday,['The Cure'],2000
Red Velvet,['OutKast'],2000
The Lighthouse,['The Happy Goodmans'],2000
The Look Of Love - Pt. 1,['ABC'],2000
Reelin' In The Years,['Steely Dan'],2000
Rome Wasn't Built in a Day,['Morcheeba'],2000
Heaven (feat. Kid Rock & Paradime),"['Uncle Kracker', 'Kid Rock', 'Paradime']",2000
M.E.M.P.H.I.S.,['Hypnotize Camp Posse'],2000
Ghost of the Navigator - 2015 Remaster,['Iron Maiden'],2000
Chicken Grease,"[""D'Angelo""]",2000
The Lost Souls,['AFI'],2000
Pastures New,['Nickel Creek'],2000
Fever Dog,['Still Water'],2000
Four Days Late,['Karen Peck & New River'],2000
Sunshine,['Samiam'],2000
Kick out the Jams,['Rage Against The Machine'],2000
Al Que Esta Sentado en el Trono,['Marco Barrientos'],2000
You Ku'uipo,['Willie K'],2000
Se Pa Pou dat,['Alan Cavé'],2000
What a Shame About Me,['Steely Dan'],2000
He perdido contigo,['Omara Portuondo'],2000
The Nephilim,['AFI'],2000
I Need Drugs,['Necro'],2000
I'll Be Doggone,['Solomon Burke'],2000
"Concerto for 2 Keyboards in C Minor, BWV 1062: II. Andante e piano","['Johann Sebastian Bach', 'Michael Behringer', 'Robert Hill', 'Kolner Kammerorchester', 'Helmut Muller-Bruhl']",2000
Stabilisers For Big Boys,['Panchiko'],2000
A Woman's Threat,['R. Kelly'],2000
Fresh Azimiz (feat. J-Kwon & Jermaine Dupri),"['Bow Wow', 'J-Kwon', 'Jermaine Dupri']",2000
Rookie,['Boysetsfire'],2000
"Ella...Ella Ya Me Olvidó, Yo la Recuerdo Ahora",['Leonardo Favio'],2000
Sacrifice Theory,['AFI'],2000
Don't You Say No,['R. Kelly'],2000
Cinco Lágrimas,['Conjunto Primavera'],2000
Bye Bye,['Phil Vassar'],2000
You Make Me Feel Like Dancing - Remastered,['Leo Sayer'],2000
The 6th Sense,['Common'],2000
Si Te Llego A Perder,['Yoskar Sarante'],2000
I Decided,['R. Kelly'],2000
No Love Today,['Chris Smither'],2000
Moi... Lolita,['Alizée'],2000
What's Your Fantasy,['Ludacris'],2000
Love,['Nancy Adams'],2000
La Vida Es Un Carnaval,['Celia Cruz'],2000
Summer,['Sum 41'],2000
Weedman,['Bone Thugs-N-Harmony'],2000
Hope,"['Shaggy', 'Prince Mydas']",2000
Cuando Nadie Te Quiera,['Pancho Barraza'],2000
Photobooth,['Death Cab for Cutie'],2000
Libro De Recuerdos,"[""Los Player's""]",2000
Who Run It,['Three 6 Mafia'],2000
Forgotten,['Linkin Park'],2000
Isolate,['...Bender'],2000
Bottles To The Ground,['NOFX'],2000
"Oh My Goodness, Look At This Mess!",['Sweet Honey In The Rock'],2000
Sleigh Ride,"['Leroy Anderson', 'José Carreras', 'Plácido Domingo', 'Luciano Pavarotti', 'Steven Mercurio', 'Wiener Symphoniker']",2000
Baptism,['Randy Travis'],2000
It Don't Matter,['Rehab'],2000
Everything Means Nothing To Me,['Elliott Smith'],2000
"Violin Concerto No. 4 in D Major, K. 218: 1. Allegro","['Wolfgang Amadeus Mozart', 'Henryk Szeryng', 'New Philharmonia Orchestra', 'Sir Alexander Gibson']",2000
Fuiste Mía un Verano,['Leonardo Favio'],2000
Angel Band,"['The Stanley Brothers', 'The Clinch Mountain Boys']",2000
El cariño que perdí - Con banda,"[""Los Freddy's""]",2000
Jealous Again,['The Black Crowes'],2000
Still Not a Player - Remix,['Big Pun'],2000
Wild Packs of Family Dogs,['Modest Mouse'],2000
Contigo en la Distancia,['Christina Aguilera'],2000
Que Sepan Todos,['Pepe Aguilar'],2000
Lovin' Each Day,['Ronan Keating'],2000
A Different City,['Modest Mouse'],2000
Grotesque Impalement,['Dying Fetus'],2000
U Know (feat. Dr. Dre),"['Xzibit', 'Dr. Dre']",2000
"I Breathe In, I Breathe Out",['Chris Cagle'],2000
Laputa,['Panchiko'],2000
You're Pretty Good Looking (For a Girl),['The White Stripes'],2000
Pushing Me Away,['Linkin Park'],2000
I Cry,"['Ja Rule', ""Lil' Mo""]",2000
Ramblin' Man,['Melvins'],2000
Dawn of Victory,['Rhapsody'],2000
Opticon,['Orgy'],2000
God of Wonders,"['Mac Powell', 'Cliff Young', 'Danielle Young']",2000
Unidos Para Amarnos,['Pancho Barraza'],2000
Invalid Litter Dept.,['At The Drive In'],2000
Bring Me Your Cup - Edit,['UB40'],2000
Mafia N****z,['Three 6 Mafia'],2000
It's Only Love That Gets You Through,['Sade'],2000
Escogido Fui de Dios,['Los Voceros de Cristo'],2000
The Pull,['The Microphones'],2000
Badaboom (feat. Fabolous),"['B2K', 'Fabolous']",2000
Want,['Disturbed'],2000
El Judicial Y El Traficante,['Grupo Exterminador'],2000
Getting To Know Each Other,['Ariel Rivera'],2000
(I Can't Get No) Satisfaction,['Britney Spears'],2000
I Wish - Remix (To the Homies That We Lost),['R. Kelly'],2000
Tilt-A-Whirl,['Insane Clown Posse'],2000
El meneíto,['Los Tigrillos'],2000
One Me,['R. Kelly'],2000
Safe in New York City,['AC/DC'],2000
Nací Con Suerte De Rey,['Los Originales De San Juan'],2000
Da Da Da (I Don't Love You You Don't Love Me Aha Aha Aha),['Trio'],2000
Learning To Breathe,['Switchfoot'],2000
Love Foolosophy (with Beverley Knight) - Radio Edit,"['Jamiroquai', 'Beverley Knight']",2001
Dizzy,['Tommy Roe'],2001
American Psycho,['D12'],2001
Unbreakable,['Michael Jackson'],2001
Side,['Travis'],2001
Mas Alto Que Las Aguilas,['Pepe Aguilar'],2001
More Justice,['Damian Marley'],2001
Lovers in a Dangerous Time,"['Barenaked Ladies', 'Ben Grosse']",2001
Just the Way You Are,['Billy Joel'],2001
Mala jujer,['La Sonora Matancera'],2001
Eres feliz junto a él,['Los Acosta'],2001
My Lovin' (You're Never Gonna Get It),['En Vogue'],2001
The Shape,['Slipknot'],2001
Still Fighting It,['Ben Folds'],2001
"Circle of Life - From ""The Lion King""/ Soundtrack","['Carmen Twillie', 'Lebo M.']",2001
"Mickey Mouse March - From ""The Mickey Mouse Club""","['The Mouseketeers', 'Jimmie Dodd']",2001
The Heretic Anthem,['Slipknot'],2001
Nunca Es Tarde,['Los Temerarios'],2001
Me Dijiste,['Tex Tex'],2001
Anticipating,['Britney Spears'],2001
Very Old Friends,['Howard Shore'],2001
"Sparkling Diamonds - From ""Moulin Rouge"" Soundtrack","['Nicole Kidman', 'Jim Broadbent', 'Lara Mulcahy', ""Caroline O'Connor"", 'Natalie Mendoza']",2001
All Rise,['Blue'],2001
Waltz for Koop,['Koop'],2001
Me haces bien,['Jorge Drexler'],2001
"A Little Bit Me, a Little Bit You",['The Monkees'],2001
Over The Hills And Far Away,['Nightwish'],2001
Cómo Quieres Que Te Quiera,['Rosario'],2001
Paloma En Su Nido,['Los Originales De San Juan'],2001
Disco Medley - Live From Astrodome,['Selena'],2001
A Movie Script Ending,['Death Cab for Cutie'],2001
La Valse d'Amélie - Version orchestre,['Yann Tiersen'],2001
The Boy Who Wouldn't Hoe Corn,['Alison Krauss & Union Station'],2001
Yo Sassy Ways,['Warren G'],2001
Get to the Gone,['Static-X'],2001
Selfish,['*NSYNC'],2001
Arturo Garza Treviño,['Beto Quintanilla'],2001
Esta Cobardía,['Chiquetete'],2001
Cigarettes And Chocolate Milk,['Rufus Wainwright'],2001
Tiene Apenas 16,['Los Acosta'],2001
Don't Stop Movin',['S Club 7'],2001
Flowers - Sunship Edit,['Sweet Female Attitude'],2001
Texas In 1880,['Radney Foster'],2001
Rumbo al Paraíso,['Alberto Pedraza'],2001
Mr. Oysterhead,['Oysterhead'],2001
Hide,['Creed'],2001
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version","['Glenn Close', 'Phil Collins']",2001
Show Me Your Glory,['Third Day'],2001
Felicidad,['Grupo Bryndis'],2001
What You Are,['Dave Matthews Band'],2001
Sing Me Back Home - 2001 Remaster,['Merle Haggard & The Strangers'],2001
Can't We Try - Single Version,"['Dan Hill', 'Vonda Shepard']",2001
Every Other Time - Radio Edit & Album Version,['LFO'],2001
Sun Is Shining,['Bob Marley & The Wailers'],2001
Candido Rodriguez,['Los Cachorros de Juan Villarreal'],2001
Yo Si Me Enamoré - Bolero,['Huey Dunbar'],2001
Wasted Days,['The Slackers'],2001
Colorful,['The Verve Pipe'],2001
Para Ti No Tengo Amor,['Los Rehenes'],2001
Mass Romantic,['The New Pornographers'],2001
You'll Never Leave Harlan Alive,['Patty Loveless'],2001
'S Wonderful,['Diana Krall'],2001
Entre tú y mil mares,['Laura Pausini'],2001
Livin' It Up - Album Version (Edited),"['Ja Rule', 'Case']",2001
Under My Umbrella,['Incubus'],2001
You Gets No Love (feat. P. Diddy & Loon),"['Faith Evans', 'Loon', 'Diddy']",2001
Left Behind,['Slipknot'],2001
Elvis Presley Blues,['Gillian Welch'],2001
