name,artists,year
Have Yourself a Merry Little Christmas - Voice,"['Hugh Martin', 'Mel Tormé']",1990
Entre dos tierras,['Heroes Del Silencio'],1990
It Ain't Like That,['Alice In Chains'],1990
Almohada,['José José'],1990
Luck of Lucien,['A Tribe Called Quest'],1990
El Muñeco,['Liberación'],1990
Smells Like Teen Spirit,['Nirvana'],1991
Enter Sandman,['Metallica'],1991
Under the Bridge,['Red Hot Chili Peppers'],1991
Come As You Are,['Nirvana'],1991
Nothing Else Matters,['Metallica'],1991
Even Flow,['Pearl Jam'],1991
Losing My Religion,['R.E.M.'],1991
November Rain,"[""Guns N' Roses""]",1991
Lithium,['Nirvana'],1991
Alive,['Pearl Jam'],1991
Meet In the Middle,['Diamond Rio'],1991
Knockin' On Heaven's Door,"[""Guns N' Roses""]",1991
In Bloom - Nevermind Version,['Nirvana'],1991
Jeremy,['Pearl Jam'],1991
The Unforgiven,['Metallica'],1991
Badfish,['Sublime'],1991
Give It Away,['Red Hot Chili Peppers'],1991
Black,['Pearl Jam'],1991
What You Won't Do for Love,['Bobby Caldwell'],1991
Learning To Fly,['Tom Petty and the Heartbreakers'],1991
"Mama, I'm Coming Home",['Ozzy Osbourne'],1991
Sad But True,['Metallica'],1991
It's Five O'Clock Somewhere,"['Alan Jackson', 'Jimmy Buffett']",1991
She's In Love With The Boy - Single Version,['Trisha Yearwood'],1991
Yellow Ledbetter,['Pearl Jam'],1991
Mind Playing Tricks on Me,['Geto Boys'],1991
(Everything I Do) I Do It For You,['Bryan Adams'],1991
End Of The Road,['Boyz II Men'],1991
I Can't Make You Love Me,['Bonnie Raitt'],1991
No More Tears,['Ozzy Osbourne'],1991
Two Princes,['Spin Doctors'],1991
Remember the Time,['Michael Jackson'],1991
Something In The Way,['Nirvana'],1991
The Night The Lights Went Out In Georgia,['Reba McEntire'],1991
One,['U2'],1991
Small Town Saturday Night,['Hal Ketchum'],1991
Wherever I May Roam,['Metallica'],1991
Leather and Lace (with Don Henley),['Stevie Nicks'],1991
Something To Talk About,['Bonnie Raitt'],1991
To Be With You - 2010 Remastered Version,['Mr. Big'],1991
Walking in Memphis,['Marc Cohn'],1991
"Be Our Guest - From ""Beauty and the Beast""/Soundtrack","['Angela Lansbury', 'Jerry Orbach', 'Chorus - Beauty And the Beast']",1991
Drain You,['Nirvana'],1991
"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",['Angela Lansbury'],1991
Don't Cry (Original),"[""Guns N' Roses""]",1991
Jerry Was A Race Car Driver,['Primus'],1991
Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",1991
Outshined,['Soundgarden'],1991
Live And Let Die,"[""Guns N' Roses""]",1991
Check the Rhime,['A Tribe Called Quest'],1991
"Belle - From ""Beauty and the Beast""/Soundtrack Version","['Richard White', ""Paige O'Hara"", 'Chorus - Beauty And the Beast']",1991
I Love a Rainy Night,['Eddie Rabbitt'],1991
"Something There - From ""Beauty and the Beast""/Soundtrack Version","['Robby Benson', 'Jerry Orbach', ""Paige O'Hara"", 'Angela Lansbury', 'David Ogden Stiers']",1991
Merry Christmas Everyone,"[""Shakin' Stevens""]",1991
The Best - Edit,['Tina Turner'],1991
Good Vibrations,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']",1991
Two Princes,['Spin Doctors'],1991
O.P.P,['Naughty By Nature'],1991
Smile,['Nat King Cole'],1991
Breakin' My Heart (Pretty Brown Eyes),['Mint Condition'],1991
Right Now,['Van Halen'],1991
Breed,['Nirvana'],1991
Don't Rock the Jukebox,['Alan Jackson'],1991
Rusty Cage,['Soundgarden'],1991
Me Estoy Enamorando,['La Mafia'],1991
Civil War,"[""Guns N' Roses""]",1991
Every Time You Go Away - Radio Edit,['Paul Young'],1991
All I Want,['Toad The Wet Sprocket'],1991
Shiny Happy People,['R.E.M.'],1991
Polly,['Nirvana'],1991
Gypsy Woman (She's Homeless) - Basement Boy Strip To The Bone Mix,['Crystal Waters'],1991
Emotions,['Mariah Carey'],1991
It Ain't Over 'Til It's Over,['Lenny Kravitz'],1991
Hacer El Amor Con Otro,['Alejandra Guzman'],1991
You've Got to Stand for Something,['Aaron Tippin'],1991
How I Could Just Kill a Man,['Cypress Hill'],1991
Suck My Kiss,['Red Hot Chili Peppers'],1991
Unforgettable (Duet with Nat King Cole),['Natalie Cole'],1991
Summertime,['DJ Jazzy Jeff & The Fresh Prince'],1991
Copperline,['James Taylor'],1991
Me And You,['Tony! Toni! Toné!'],1991
Love Potion No. 9 - Remastered / Single Version,['The Clovers'],1991
Chiquilla Bonita,['Los Bukis'],1991
Él Soy Yo,['Samuray'],1991
The Show Must Go On - Remastered 2011,['Queen'],1991
Little Miss Can't Be Wrong,['Spin Doctors'],1991
Feed My Frankenstein,['Alice Cooper'],1991
What You Give,['Tesla'],1991
Beautiful Mess,['Diamond Rio'],1991
Orange Colored Sky,['Nat King Cole'],1991
When a Man Loves a Woman,['Michael Bolton'],1991
Lounge Act,['Nirvana'],1991
Don't Tread On Me,['Metallica'],1991
Black or White,['Michael Jackson'],1991
The Choice Is Yours (Revisited),['Black Sheep'],1991
Anymore,['Travis Tritt'],1991
Have I Told You Lately - 2008 Remaster,['Rod Stewart'],1991
Territorial Pissings,['Nirvana'],1991
Tonite,['DJ Quik'],1991
I Wanna Sex You Up - Single Mix,['Color Me Badd'],1991
Stay Away,['Nirvana'],1991
Stand Back,['Stevie Nicks'],1991
Alwayz Into Somethin',['N.W.A.'],1991
Drivin' My Life Away,['Eddie Rabbitt'],1991
Mistletoe and Wine,['Cliff Richard'],1991
Excursions,['A Tribe Called Quest'],1991
Breaking the Girl,['Red Hot Chili Peppers'],1991
"Baby, Baby",['Amy Grant'],1991
Stay,['Jodeci'],1991
Como Tu Mujer,['Rocío Dúrcal'],1991
Unbelievable,['EMF'],1991
Here's a Quarter (Call Someone Who Cares),['Travis Tritt'],1991
Jazz (We've Got),['A Tribe Called Quest'],1991
Now That We Found Love,"['Heavy D & The Boyz', 'Aaron Hall']",1991
Save The Best For Last,['Vanessa Williams'],1991
I'm Dreamin',['Christopher Williams'],1991
Slow Ride,['Sublime'],1991
Un Millon de Rosas,['La Mafia'],1991
Motownphilly,['Boyz II Men'],1991
I Can't Dance - 2007 Remaster,['Genesis'],1991
(I Love You) For Sentimental Reasons,['Nat King Cole'],1991
I Wanna Sex You Up - Single Mix,['Color Me Badd'],1991
On A Plain,['Nirvana'],1991
Forever My Lady,['Jodeci'],1991
Rush Rush,['Paula Abdul'],1991
Bro Hymn,['Pennywise'],1991
Try Me,['James Brown'],1991
Spring Love,['Stevie B'],1991
Tom's Diner,"['Suzanne Vega', 'DNA']",1991
No Sé Tú,['Luis Miguel'],1991
Mysterious Ways,['U2'],1991
Heal the World,['Michael Jackson'],1991
Of Wolf And Man,['Metallica'],1991
Que Me Entierren Con La Banda,['Antonio Aguilar'],1991
I Touch Myself,['Divinyls'],1991
Walk On the Ocean,['Toad The Wet Sprocket'],1991
Rockin' Around the Christmas Tree,['Brenda Lee'],1991
The Shoop Shoop Song (It's In His Kiss),['Cher'],1991
1952 Vincent Black Lightning,['Richard Thompson'],1991
Kumbala,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],1991
Me Caí De La Nube,['Cornelio Reyna'],1991
Into The Great Wide Open,['Tom Petty and the Heartbreakers'],1991
Through The Never,['Metallica'],1991
Hammer To Fall - Remastered 2011,['Queen'],1991
Qué Falta Me Hace Mi Padre,['Antonio Aguilar'],1991
Remember When,['Alan Jackson'],1991
"Love, Me",['Collin Raye'],1991
Right Here Right Now,['Jesus Jones'],1991
Nuestra Canción,['La Mafia'],1991
